Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2024-01-21 09:20:54,1,27 Griffin Kao,1,0,0,0,0.30576923,0.86079544
2024-01-21 09:24:59,2,10 Tricia Smit,0,0,0,0,0.5826923,0.40625
2024-01-21 09:34:05,4,08 Mike Drost,0,0,0,0,0.7153846,0.7308239
2024-01-21 11:35:32,11,19 Eliot Bemis,0,0,0,0,0.20961538,0.52982956
2024-01-21 11:46:30,14,74 Sam Harris,0,0,0,0,0.3403846,0.63778406
2024-01-21 12:14:45,23,24 Jolie Krebs,0,0,0,0,0.73653847,0.28480113
2024-01-21 12:20:08,24,74 Sam Harris,1,0,0,0,0.57884616,0.8203125
