Created,Point,Possession,Thrower,Receiver,Turnover?,Thrower error?,Receiver error?,Throw to endzone?,Assist?,Secondary assist?,Huck?,Swing?,Dump?,From sideline?,To sideline?,Distance (m),Forward distance (m),Left-to-right distance (m),Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),End X (0 -> 1 = left sideline -> right sideline),End Y (0 -> 1 = back of opponent endzone -> back of own endzone)
7/26/23 17:06,1,1,88 Nikki Hair,46 Ben Levy,0,0,0,0,0,0,0,1,0,0,0,12.610441,-0.6392062,12.594231,0.775,0.625,0.43461537,0.63139206
7/26/23 17:06,1,1,46 Ben Levy,16 Elias Levey-Swain,0,0,0,0,0,0,0,1,0,0,0,13.200839,5.8948874,-11.81154,0.43461537,0.63139206,0.75384617,0.5724432
7/26/23 17:07,1,1,16 Elias Levey-Swain,74 Sam Harris,0,0,0,0,0,0,1,0,0,0,0,37.77798,37.642044,3.2019243,0.75384617,0.5724432,0.6673077,0.19602273
7/26/23 17:07,1,1,74 Sam Harris,27 Griffin Kao,0,0,0,0,0,0,0,0,1,0,0,11.318799,-3.3380673,10.815384,0.6673077,0.19602273,0.375,0.2294034
7/26/23 17:07,1,1,27 Griffin Kao,74 Sam Harris,0,0,0,0,0,0,0,0,0,0,0,6.2716,-0.35511404,-6.261538,0.375,0.2294034,0.54423076,0.23295455
7/26/23 17:07,1,1,74 Sam Harris,88 Nikki Hair,1,1,0,1,0,0,0,0,0,0,1,18.522049,12.428977,-13.732692,0.54423076,0.23295455,0.9153846,0.10866477
7/26/23 17:08,1,2,46 Ben Levy,88 Nikki Hair,0,0,0,0,0,0,0,0,0,0,1,16.033588,12.784094,-9.676925,0.6673077,0.8224432,0.9288462,0.69460225
7/26/23 17:08,1,2,88 Nikki Hair,74 Sam Harris,0,0,0,0,0,0,0,0,0,1,1,12.150091,12.144881,-0.35576838,0.9288462,0.69460225,0.93846154,0.57315344
7/26/23 17:08,1,2,74 Sam Harris,03 Abby Cheng,0,0,0,0,0,1,0,0,0,1,0,12.733311,11.718753,4.980768,0.93846154,0.57315344,0.8038462,0.4559659
7/26/23 17:09,1,2,03 Abby Cheng,27 Griffin Kao,0,0,0,1,1,0,0,0,0,0,0,34.561825,31.74716,13.66154,0.8038462,0.4559659,0.43461537,0.13849431
7/26/23 17:10,2,1,,07 Luisa Neves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20192307,0.53196025,0.20192307,0.53196025
7/26/23 17:10,2,1,07 Luisa Neves,12 Matt LeMar,0,0,0,0,0,0,0,0,1,0,0,11.644658,-7.599431,-8.823077,0.20192307,0.53196025,0.44038463,0.60795456
7/26/23 17:10,2,1,12 Matt LeMar,04 Nola Kim Mayer,0,0,0,0,0,0,0,0,0,0,1,17.77667,10.653412,14.230769,0.44038463,0.60795456,0.05576923,0.50142044
7/26/23 17:10,2,1,04 Nola Kim Mayer,07 Luisa Neves,0,0,0,0,0,0,0,0,0,1,0,10.920933,8.096591,-7.3288465,0.05576923,0.50142044,0.25384617,0.42045453
7/26/23 17:11,2,1,07 Luisa Neves,80 Hannah Garfield,0,0,0,0,0,0,0,1,0,0,0,12.339083,0.8522719,-12.309614,0.25384617,0.42045453,0.58653843,0.4119318
7/26/23 17:11,2,1,80 Hannah Garfield,19 Eliot Bemis,0,0,0,0,0,0,0,0,0,0,0,11.735391,6.5340905,-9.748079,0.58653843,0.4119318,0.85,0.3465909
7/26/23 17:12,2,1,19 Eliot Bemis,27 Griffin Kao,0,0,0,0,0,0,0,0,0,0,1,9.110343,8.948862,-1.7076921,0.85,0.3465909,0.89615387,0.25710228
7/26/23 17:12,2,1,27 Griffin Kao,07 Luisa Neves,0,0,0,0,0,0,0,1,0,1,0,14.19549,-4.545453,13.448077,0.89615387,0.25710228,0.5326923,0.3025568
7/26/23 17:12,2,1,07 Luisa Neves,12 Matt LeMar,0,0,0,0,0,0,0,1,0,0,0,14.697774,7.457386,12.665384,0.5326923,0.3025568,0.19038461,0.22798295
7/26/23 17:12,2,1,12 Matt LeMar,07 Luisa Neves,0,0,0,0,0,0,0,0,1,0,0,7.4948936,-6.3920455,-3.9134617,0.19038461,0.22798295,0.29615384,0.2919034
7/26/23 17:12,2,1,07 Luisa Neves,12 Matt LeMar,0,0,0,0,0,0,0,0,0,0,0,11.190275,3.977272,-10.459616,0.29615384,0.2919034,0.57884616,0.2521307
7/26/23 17:13,2,1,12 Matt LeMar,07 Luisa Neves,0,0,0,0,0,0,0,0,0,0,0,7.661558,2.8409095,-7.115385,0.57884616,0.2521307,0.77115387,0.2237216
7/26/23 17:13,2,1,07 Luisa Neves,44 Sal Pepe,0,0,0,0,0,0,0,0,1,0,0,10.236483,-3.3380687,9.676925,0.77115387,0.2237216,0.50961536,0.25710228
