Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
6/26/23 19:44,1,0,0,1,1,1,7,0,0,0,0,0,33 Emily Barrett,11 Nina Finley,00 Genny De Jesus,
6/26/23 19:46,2,1,0,0,1,1,6,0,0,0,0,1,03 Abby Cheng,30 Josue Alorro,19 Eliot Bemis,
6/26/23 19:48,3,2,0,0,0,0,0,0,0,0,0,0,,,,
6/26/23 19:50,4,2,1,1,1,1,12,0,0,0,0,0,11 Nina Finley,33 Emily Barrett,00 Genny De Jesus,
6/26/23 19:53,5,3,1,0,0,0,0,0,0,0,0,0,,,,
6/26/23 19:55,6,3,2,1,1,1,7,0,0,0,0,0,08 Mike Drost,11 Nina Finley,00 Genny De Jesus,
6/26/23 19:58,7,4,2,0,1,4,15,3,2,1,2,2,99 Toby Paperno,30 Josue Alorro,27 Griffin Kao,
6/26/23 20:06,8,5,2,0,0,0,0,0,0,0,0,0,,,,
6/26/23 20:09,9,5,3,1,1,1,6,0,0,0,0,0,11 Nina Finley,08 Mike Drost,00 Genny De Jesus,
6/26/23 20:11,10,6,3,0,1,2,21,1,1,0,1,1,03 Abby Cheng,30 Josue Alorro,42 Daniel Thornton,
6/26/23 20:18,11,7,3,0,0,0,0,0,0,0,0,0,,,,
6/26/23 20:19,12,7,4,1,1,2,12,1,1,0,1,0,00 Genny De Jesus,36 Matt Wiener,17 Oliver Chartock,
6/26/23 20:23,13,8,4,0,0,1,2,1,1,0,0,1,,,,
6/27/23 13:20,14,8,5,1,1,1,10,0,0,0,0,0,11 Nina Finley,17 Oliver Chartock,00 Genny De Jesus,
6/27/23 13:22,15,9,5,0,0,1,3,1,0,1,1,0,,,,
6/27/23 13:24,16,9,6,1,1,2,4,1,1,0,0,1,11 Nina Finley,33 Emily Barrett,08 Mike Drost,
6/27/23 13:26,17,10,6,0,0,0,0,0,0,0,0,0,,,,
6/27/23 13:27,18,10,7,1,1,1,3,0,0,0,0,0,33 Emily Barrett,00 Genny De Jesus,11 Nina Finley,
6/27/23 13:28,19,11,7,0,1,1,3,0,0,0,0,1,27 Griffin Kao,99 Toby Paperno,74 Sam Harris,
6/27/23 13:31,20,12,7,0,1,1,2,0,0,0,0,1,30 Josue Alorro,03 Abby Cheng,42 Daniel Thornton,
6/27/23 13:33,21,13,7,0,0,1,1,1,1,0,0,1,,,,
6/27/23 13:35,22,13,8,1,1,1,2,0,0,0,0,0,17 Oliver Chartock,12 Matt LeMar,33 Emily Barrett,
6/27/23 13:36,23,14,8,0,0,0,0,0,0,0,0,0,,,,
6/27/23 13:36,24,14,9,1,1,1,9,0,0,0,0,0,08 Mike Drost,33 Emily Barrett,56 Leila Denniston,
6/27/23 13:39,25,15,9,0,0,0,0,0,0,0,0,0,,,,
