Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2023-06-26 20:04:45,7,26 Cara Sieber,1,0,0,0,0.7903846,0.890625
2023-06-26 20:05:45,7,30 Josue Alorro,0,0,0,0,0.75384617,0.31605113
2023-06-26 20:13:14,10,46 Ben Levy,0,0,0,0,0.33461538,0.4353693
2023-06-26 20:22:29,12,17 Oliver Chartock,0,0,0,0,0.50576925,0.79190344
2023-06-27 13:23:46,15,99 Toby Paperno,0,0,0,0,0.75576925,0.70454544
