Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
8/10/23 22:39,6,06 Ryan Drost,1,0,0,0,0.16730769,0.9161932
8/10/23 22:44,7,36 Matt Wiener,0,0,0,0,0.74038464,0.4659091
8/10/23 23:00,11,26 Cara Sieber,1,0,0,0,0.76346153,0.9019886
8/11/23 0:08,12,99 Toby Paperno,1,0,0,0,0.49807692,0.88778406
8/11/23 0:10,12,19 Eliot Bemis,1,0,0,0,0.30384615,0.828125
8/11/23 0:26,15,36 Matt Wiener,0,0,0,0,0.17692308,0.51278406
8/11/23 0:28,16,30 Josue Alorro,0,0,0,0,0.9326923,0.5213068
8/11/23 0:59,24,36 Matt Wiener,1,0,0,0,0.51346153,0.9488636
