Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal,wind_direction
8/10/23 22:27,1,0,0,0,0,1,1,1,1,0,0,1,,,,
8/10/23 22:29,2,0,1,1,0,1,5,1,1,0,0,0,,,,
8/10/23 22:31,3,0,2,1,1,1,7,0,0,0,0,0,11 Nina Finley,12 Matt LeMar,24 Jolie Krebs,
8/10/23 22:34,4,1,2,0,0,0,0,0,0,0,0,0,,,,
8/10/23 22:35,5,1,3,1,1,1,8,0,0,0,0,0,08 Mike Drost,29 Oscar Kohut,17 Oliver Chartock,
8/10/23 22:37,6,2,3,0,0,1,7,1,1,0,1,0,,,,
8/10/23 22:42,7,2,4,1,1,2,7,1,1,0,1,0,56 Leila Denniston,08 Mike Drost,24 Jolie Krebs,
8/10/23 22:45,8,3,4,0,1,1,5,0,0,0,0,1,30 Josue Alorro,42 Daniel Thornton,10 Tricia Smit,
8/10/23 22:48,9,4,4,0,0,0,0,0,0,0,0,0,,,,
8/10/23 22:50,10,4,5,1,1,1,15,0,0,0,0,0,12 Matt LeMar,56 Leila Denniston,00 Genny De Jesus,
8/10/23 22:55,11,5,5,0,1,3,10,2,2,0,1,2,10 Tricia Smit,16 Elias Levey-Swain,74 Sam Harris,
8/10/23 23:02,12,6,5,0,1,3,27,2,2,0,2,1,19 Eliot Bemis,46 Ben Levy,26 Cara Sieber,
8/11/23 0:16,13,7,5,0,0,0,0,0,0,0,0,0,,,,
8/11/23 0:18,14,7,6,1,1,1,8,0,0,0,0,0,00 Genny De Jesus,29 Oscar Kohut,00 Genny De Jesus,
8/11/23 0:20,15,8,6,1,1,3,17,2,2,0,1,1,24 Jolie Krebs,17 Oliver Chartock,00 Genny De Jesus,
8/11/23 0:27,16,9,6,0,0,1,5,1,1,0,1,0,,,,
8/11/23 0:31,17,9,7,1,0,1,7,1,1,0,0,0,,,,
8/11/23 0:34,18,9,8,1,1,1,9,0,0,0,0,0,11 Nina Finley,12 Matt LeMar,08 Mike Drost,
8/11/23 0:37,19,10,8,0,0,1,3,1,1,0,0,1,,,,
8/11/23 0:41,20,10,9,1,1,2,10,1,1,0,0,1,11 Nina Finley,08 Mike Drost,12 Matt LeMar,
8/11/23 0:46,21,11,9,0,0,0,0,0,0,0,0,0,,,,
8/11/23 0:48,22,11,10,1,1,1,14,0,0,0,0,0,29 Oscar Kohut,00 Genny De Jesus,12 Matt LeMar,
8/11/23 0:53,23,12,10,0,0,0,0,0,0,0,0,0,,,,
8/11/23 0:58,24,12,11,1,1,2,9,1,0,1,1,0,00 Genny De Jesus,11 Nina Finley,08 Mike Drost,
8/11/23 1:01,25,13,11,0,0,0,0,0,0,0,0,0,,,,
