Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
9/26/23 15:36,4,00 Genny De Jesus,0,0,0,0,0.3846154,0.62357956
9/26/23 16:19,9,36 Matt Wiener,0,0,0,0,0.29807693,0.67258525
9/26/23 16:47,18,36 Matt Wiener,0,0,0,0,0.33653846,0.6775568
9/26/23 16:50,18,08 Mike Drost,0,0,0,0,0.05,0.79758525
9/26/23 17:12,22,00 Genny De Jesus,0,0,0,0,0.7346154,0.7521307
9/26/23 17:14,22,17 Oliver Chartock,0,0,0,0,0.4576923,0.75142044
9/26/23 17:16,22,36 Matt Wiener,0,0,0,0,0.70576924,0.3224432
9/26/23 17:18,23,66 Janine Hlavaty,0,0,0,0,0.43076923,0.5198864
